model,display_freq,battery,price,ram,size,camera_res
Realme Model 33176,86,3109,7682,16,5.95,21.4
Samsung Model 33177,76,4460,27491,12,5.34,69.4
Samsung Model 33178,88,3648,11575,4,6.19,37.0
Nokia Model 33179,100,5609,35788,14,6.27,73.3
Asus Model 33180,87,4474,16316,9,5.54,99.2
Nokia Model 33181,88,5300,36724,15,6.25,53.6
Asus Model 33182,105,4719,6473,14,5.03,56.7
Google Model 33183,91,3224,3599,12,5.88,59.9
Apple Model 33184,116,3764,20076,14,5.28,71.2
Xiaomi Model 33185,106,5400,36846,16,5.73,104.7
Apple Model 33186,60,5311,26495,8,4.82,98.7
Asus Model 33187,68,5887,36091,14,6.38,38.6
Huawei Model 33188,77,5249,29916,4,5.27,17.8
Huawei Model 33189,68,3911,30078,9,6.23,37.9
Apple Model 33190,95,5103,14832,8,6.28,80.9
Asus Model 33191,71,3632,34663,12,6.19,60.5
Sony Model 33192,143,5732,22852,3,5.88,41.2
Asus Model 33193,133,3669,20686,7,6.54,43.0
Xiaomi Model 33194,128,5162,28213,16,6.17,34.8
Realme Model 33195,112,4776,38633,7,5.02,100.8
Oppo Model 33196,134,5332,14544,4,5.46,40.5
Asus Model 33197,77,5851,38988,10,5.87,12.4
Motorola Model 33198,131,4923,18072,7,7.06,84.5
Oppo Model 33199,82,3091,23209,15,4.9,21.9
Huawei Model 33200,94,5775,28175,10,5.22,58.4
Oppo Model 33201,116,3538,14251,3,6.08,44.8
OnePlus Model 33202,144,3008,25792,16,4.6,54.5
Apple Model 33203,132,4554,34632,12,6.21,41.2
Samsung Model 33204,112,3329,22493,11,5.15,96.1
Oppo Model 33205,129,4019,8162,3,4.6,69.2
Motorola Model 33206,70,3625,12747,16,4.54,59.0
Samsung Model 33207,125,4851,23156,7,6.16,26.6
Xiaomi Model 33208,86,3079,33976,10,6.98,106.0
Xiaomi Model 33209,80,4965,20877,10,5.17,22.2
Realme Model 33210,143,3771,34714,13,6.16,102.0
Apple Model 33211,93,4882,18263,14,4.53,95.8
Asus Model 33212,97,3989,3470,5,4.7,97.9
Sony Model 33213,61,4123,11362,10,4.82,90.9
Nokia Model 33214,115,5218,19868,14,5.89,41.2
Sony Model 33215,141,5156,5328,14,4.6,107.2
OnePlus Model 33216,97,5358,7677,13,6.58,51.8
Oppo Model 33217,82,5423,3048,10,5.47,56.9
Google Model 33218,104,3788,17014,11,4.95,57.2
Asus Model 33219,81,3628,12196,3,5.54,60.8
Asus Model 33220,81,3674,12719,7,7.17,50.3
OnePlus Model 33221,140,5313,9497,3,6.53,36.3
Huawei Model 33222,101,5069,7560,13,5.84,11.3
Samsung Model 33223,61,3152,35586,7,5.63,79.7
Realme Model 33224,114,4823,39450,10,5.11,61.1
Motorola Model 33225,134,4968,11271,3,6.47,8.4
Apple Model 33226,62,3475,28405,12,5.29,87.7
Samsung Model 33227,106,4724,34381,7,5.8,28.0
Oppo Model 33228,82,5693,5625,14,6.4,55.7
Motorola Model 33229,90,5211,34444,6,6.43,89.1
Sony Model 33230,97,4338,30118,13,4.84,53.8
Realme Model 33231,103,3336,12616,11,5.27,14.2
Apple Model 33232,140,4635,34361,8,6.92,23.4
Xiaomi Model 33233,87,4609,10141,10,6.2,32.0
Asus Model 33234,63,3483,21233,14,6.61,39.1
Asus Model 33235,88,3005,35144,12,6.05,86.2
Asus Model 33236,139,4075,22447,11,5.37,91.1
Huawei Model 33237,85,4770,24313,6,7.17,80.8
Asus Model 33238,90,5511,34437,8,5.47,39.1
Motorola Model 33239,113,4990,28512,7,6.88,99.7
Oppo Model 33240,97,4748,39904,3,4.96,36.5
Sony Model 33241,66,4291,27015,3,6.96,22.9
Asus Model 33242,121,4084,20887,5,4.51,83.5
Huawei Model 33243,137,5723,3532,8,6.52,26.5
Oppo Model 33244,109,4746,13754,12,6.76,53.3
Google Model 33245,104,4859,31629,4,5.31,67.2
Oppo Model 33246,105,4438,8475,4,6.4,33.3
Xiaomi Model 33247,95,4635,3154,9,6.95,40.1
Motorola Model 33248,98,4149,24924,5,4.56,95.5
Google Model 33249,103,4264,17025,6,6.67,25.3
Samsung Model 33250,126,5435,6163,16,6.28,75.4
Huawei Model 33251,119,5052,6382,13,4.6,99.0
Xiaomi Model 33252,69,4248,30026,14,4.52,81.6
Realme Model 33253,138,3445,38421,5,4.97,16.0
Nokia Model 33254,88,4852,28152,14,6.44,96.9
Sony Model 33255,95,4511,32878,14,4.66,53.0
Sony Model 33256,98,5610,32814,14,4.51,10.3
Samsung Model 33257,91,3195,16767,8,4.65,81.9
Realme Model 33258,107,5519,8695,16,6.53,91.8
Xiaomi Model 33259,70,3065,30653,11,4.59,30.3
Apple Model 33260,78,4764,33530,12,6.95,104.7
Huawei Model 33261,97,3166,3997,11,4.74,36.1
Google Model 33262,118,4313,20954,14,5.08,13.7
OnePlus Model 33263,95,3399,31611,7,6.92,37.0
Oppo Model 33264,113,4096,4143,7,6.55,63.5
OnePlus Model 33265,87,5515,25935,11,5.04,82.4
Oppo Model 33266,60,5653,14427,16,6.48,50.8
Motorola Model 33267,101,5843,19705,15,5.74,47.5
OnePlus Model 33268,86,5171,26907,5,5.2,34.7
OnePlus Model 33269,134,4735,21081,12,5.54,105.1
Oppo Model 33270,109,3466,17969,13,5.79,82.5
Samsung Model 33271,96,5508,39410,13,5.35,36.0
Sony Model 33272,136,5607,11798,3,4.89,20.1
Apple Model 33273,100,5545,9718,3,6.7,29.6
Huawei Model 33274,112,5304,18462,3,6.86,52.6
Motorola Model 33275,80,4207,10468,5,5.38,15.2
Nokia Model 33276,76,4268,29124,12,5.08,16.8
Google Model 33277,107,5874,25334,7,4.53,95.6
Oppo Model 33278,119,4435,19103,14,6.97,85.3
Asus Model 33279,60,5682,23702,10,6.75,56.3
Sony Model 33280,90,5879,30218,12,4.67,69.9
Asus Model 33281,134,3550,39763,7,5.41,58.2
Asus Model 33282,93,3432,31817,10,4.7,35.4
Realme Model 33283,79,5734,38389,9,5.88,76.3
Huawei Model 33284,130,3342,27795,5,5.13,32.5
Huawei Model 33285,84,4279,3079,15,5.01,94.7
Nokia Model 33286,77,5311,33319,7,6.36,39.9
Asus Model 33287,72,4987,27578,7,5.13,39.2
Motorola Model 33288,126,3070,29237,11,7.04,66.7
Motorola Model 33289,90,3885,23884,9,5.0,41.8
Huawei Model 33290,136,5119,13624,9,6.95,76.9
Xiaomi Model 33291,86,3696,39872,12,4.63,36.8
Motorola Model 33292,105,3677,12778,6,6.35,8.9
Motorola Model 33293,110,4309,14464,9,7.13,42.8
Asus Model 33294,132,4990,15562,16,5.13,87.0
Realme Model 33295,96,5252,15974,12,6.71,90.1
Apple Model 33296,86,5472,38561,12,5.71,51.1
Huawei Model 33297,141,5510,16021,3,6.76,95.3
Motorola Model 33298,97,4679,21286,12,4.69,51.3
Nokia Model 33299,71,5966,33134,13,5.25,52.9
Realme Model 33300,115,3478,3233,8,4.66,73.2
Motorola Model 33301,95,3073,13334,10,6.44,78.0
OnePlus Model 33302,68,4573,38952,11,4.59,13.3
Motorola Model 33303,114,4525,11341,5,5.01,96.7
Sony Model 33304,133,4799,31163,3,6.06,17.0
Nokia Model 33305,109,3397,26779,10,6.85,30.9
Asus Model 33306,75,3660,15128,8,6.61,16.0
Google Model 33307,62,4186,7407,4,7.05,36.7
Asus Model 33308,107,5781,16586,13,5.93,29.6
OnePlus Model 33309,97,4440,24021,6,4.59,47.2
Huawei Model 33310,126,3342,39335,5,6.86,50.3
OnePlus Model 33311,136,4926,3146,7,4.6,76.0
OnePlus Model 33312,106,4970,8441,6,6.97,67.6
Oppo Model 33313,122,3893,7709,4,4.93,48.0
OnePlus Model 33314,126,3574,19675,7,5.71,10.1
Samsung Model 33315,85,4800,31206,14,4.99,20.3
Xiaomi Model 33316,126,4720,13706,8,5.82,41.9
Samsung Model 33317,101,4371,37740,9,5.09,56.2
Sony Model 33318,113,4974,28967,15,6.13,15.3
Realme Model 33319,108,5999,9704,4,5.38,61.6
Xiaomi Model 33320,67,3008,20881,7,5.21,106.0
Sony Model 33321,139,3660,25897,12,6.87,97.2
Google Model 33322,100,3185,6654,16,6.68,18.7
Nokia Model 33323,60,4698,27569,11,5.83,22.6
Sony Model 33324,65,3970,30121,11,5.36,9.3
Huawei Model 33325,124,5914,34641,8,6.16,106.6
Asus Model 33326,132,5577,29674,12,6.35,72.7
Huawei Model 33327,129,4829,34882,15,6.53,42.6
Motorola Model 33328,62,4423,21190,15,4.82,52.4
Huawei Model 33329,100,4162,10601,7,5.82,39.4
Huawei Model 33330,64,4624,5032,6,5.4,83.1
Asus Model 33331,103,3672,6774,16,6.55,23.9
Sony Model 33332,108,4001,27913,16,6.17,15.5
Google Model 33333,118,5731,16289,6,6.93,8.5
Realme Model 33334,92,3954,25486,6,6.08,69.8
Xiaomi Model 33335,135,4753,4291,7,6.88,17.7
Nokia Model 33336,112,5146,3759,9,6.48,95.4
Motorola Model 33337,106,5811,4894,11,6.18,69.0
Samsung Model 33338,79,4089,3379,8,5.93,47.2
Oppo Model 33339,140,3076,15660,13,6.93,75.5
Realme Model 33340,133,5501,13531,11,6.55,47.5
Samsung Model 33341,133,5318,24230,11,7.04,95.4
Huawei Model 33342,108,4154,4187,4,6.39,81.6
Motorola Model 33343,117,5745,33879,14,6.82,14.5
Realme Model 33344,133,3268,35931,15,4.94,87.0
Huawei Model 33345,130,5286,26835,3,6.68,17.0
Samsung Model 33346,64,5229,4947,3,4.6,80.3
Samsung Model 33347,140,3507,22923,11,6.61,17.2
Google Model 33348,61,3077,7690,11,5.27,58.9
Xiaomi Model 33349,125,3635,7181,7,4.71,83.9
Asus Model 33350,133,3999,28330,15,6.46,83.3
Motorola Model 33351,107,5850,25711,14,6.82,64.5
Oppo Model 33352,111,4679,31677,11,5.23,53.8
Asus Model 33353,131,5949,28276,12,6.31,73.5
Apple Model 33354,64,5807,39005,6,5.3,69.1
Xiaomi Model 33355,123,3623,38214,14,7.14,67.4
Apple Model 33356,76,3047,30979,14,7.03,17.7
Asus Model 33357,84,5571,7611,7,5.1,94.9
Realme Model 33358,113,4934,21805,11,4.67,22.6
Oppo Model 33359,132,4678,37485,9,6.02,58.9
Motorola Model 33360,81,4148,6867,9,5.05,88.6
Apple Model 33361,112,3539,24503,10,5.77,27.0
Google Model 33362,119,5474,32509,5,4.58,104.0
OnePlus Model 33363,67,4550,22364,10,6.69,53.2
Sony Model 33364,128,4687,10861,4,6.6,8.9
Motorola Model 33365,142,4740,11690,6,7.12,16.1
Sony Model 33366,95,5396,29569,7,4.85,82.2
Realme Model 33367,143,4256,15009,16,6.27,26.2
Nokia Model 33368,76,4483,8345,5,5.2,27.2
Realme Model 33369,128,3928,6033,7,5.52,12.7
Sony Model 33370,134,3072,14550,10,4.66,39.5
Asus Model 33371,143,4572,8040,12,5.18,90.0
OnePlus Model 33372,66,4777,18568,5,6.29,43.6
Xiaomi Model 33373,92,4403,3301,16,4.84,42.2
Samsung Model 33374,63,3480,16202,8,6.31,33.0
Samsung Model 33375,66,4350,4898,10,5.95,48.0
Asus Model 33376,114,3335,18239,12,6.67,22.7
Asus Model 33377,125,5113,4824,13,5.52,65.9
Xiaomi Model 33378,107,4323,21684,16,5.89,25.0
Google Model 33379,135,5343,31378,7,6.19,95.6
Oppo Model 33380,85,4610,8534,4,6.53,53.9
Huawei Model 33381,72,4542,8263,3,7.02,46.9
Oppo Model 33382,141,3032,21152,11,7.16,102.0
Sony Model 33383,69,5388,14919,15,4.94,56.2
Nokia Model 33384,67,3414,26826,10,6.09,94.4
Motorola Model 33385,112,3905,18347,11,4.51,97.1
Samsung Model 33386,108,4614,21919,10,7.01,89.1
Nokia Model 33387,140,4791,31157,16,6.58,60.2
Oppo Model 33388,119,3761,6970,4,5.44,36.4
Samsung Model 33389,103,4400,14626,14,6.32,40.1
Google Model 33390,140,4570,7832,3,4.65,97.2
Google Model 33391,66,3910,13275,12,4.87,29.5
Samsung Model 33392,144,3968,22148,4,4.63,98.6
Google Model 33393,83,5844,5841,10,5.32,36.4
Motorola Model 33394,74,3930,20287,6,4.76,102.9
Apple Model 33395,96,3274,35684,12,6.61,8.0
Google Model 33396,73,4623,29262,8,6.61,97.4
Apple Model 33397,105,5025,8282,11,6.89,24.2
Asus Model 33398,100,3559,38301,5,6.29,36.4
Asus Model 33399,91,3083,25298,9,4.97,26.6
Samsung Model 33400,70,5758,35162,12,5.97,95.0
Realme Model 33401,131,4986,4402,6,5.38,66.8
Apple Model 33402,85,5913,39014,10,4.99,9.4
OnePlus Model 33403,111,3367,37428,13,5.13,46.4
Apple Model 33404,141,4304,11068,9,6.43,9.9
OnePlus Model 33405,119,5757,13517,5,6.97,15.1
Oppo Model 33406,128,5109,10991,7,6.44,64.2
Motorola Model 33407,144,3226,29813,15,4.52,38.4
Apple Model 33408,83,3188,31491,12,7.11,104.6
Nokia Model 33409,69,3760,4728,12,7.02,82.4
Sony Model 33410,138,5376,32545,12,6.26,52.8
Nokia Model 33411,94,3188,18407,5,5.12,11.9
OnePlus Model 33412,96,3029,11391,8,7.0,26.7
Huawei Model 33413,67,5463,13107,14,5.83,38.4
OnePlus Model 33414,70,4030,11054,12,7.16,104.8
Huawei Model 33415,78,4755,12381,10,6.92,69.9
Google Model 33416,114,5153,15237,13,5.86,77.1
Sony Model 33417,144,4574,20121,13,4.57,18.3
OnePlus Model 33418,127,4200,19530,8,6.1,92.9
Samsung Model 33419,116,3534,38306,11,7.17,88.2
Xiaomi Model 33420,139,4199,11768,12,5.11,48.4
Oppo Model 33421,77,5797,34743,4,6.3,83.9
Oppo Model 33422,111,4003,9962,6,5.12,48.3
Huawei Model 33423,101,4293,27286,12,6.39,99.4
OnePlus Model 33424,104,4422,39701,4,5.87,106.3
Apple Model 33425,63,3521,27588,14,5.89,33.6
Samsung Model 33426,144,3904,15951,5,5.0,75.0
Asus Model 33427,117,5748,29164,9,4.57,28.0
Xiaomi Model 33428,101,3130,21615,12,4.67,51.6
Motorola Model 33429,67,4466,6133,6,6.08,83.2
Xiaomi Model 33430,96,5178,31256,10,6.74,34.6
Realme Model 33431,88,4276,22129,6,7.17,92.8
Xiaomi Model 33432,100,4624,5016,6,6.23,53.4
Samsung Model 33433,68,5138,4945,3,5.58,41.4
Oppo Model 33434,79,5942,3757,11,4.86,62.3
Google Model 33435,130,5913,7037,10,6.21,83.8
Oppo Model 33436,106,4450,3680,14,5.96,32.3
Samsung Model 33437,123,3309,23348,7,5.9,53.1
Realme Model 33438,122,5140,30499,7,6.99,52.0
Oppo Model 33439,96,3458,13265,13,4.55,54.3
OnePlus Model 33440,133,3795,7738,6,6.48,50.0
Google Model 33441,111,4871,23152,11,6.33,76.2
Asus Model 33442,76,3168,27413,14,6.57,93.9
Google Model 33443,65,5359,5459,16,5.5,70.0
Oppo Model 33444,85,5604,17232,7,6.73,50.5
Xiaomi Model 33445,72,5252,11854,3,6.44,54.3
Motorola Model 33446,125,5466,4898,14,6.34,40.7
Motorola Model 33447,91,4516,34480,12,4.93,95.4
Realme Model 33448,133,3909,29681,15,5.11,22.6
Nokia Model 33449,77,4363,6448,16,5.68,44.4
Oppo Model 33450,108,3203,7091,16,5.86,8.2
Apple Model 33451,106,4855,23326,11,5.21,56.2
Asus Model 33452,144,5744,19048,5,5.19,104.2
Motorola Model 33453,111,5619,35709,16,5.5,43.7
Google Model 33454,138,4512,21708,15,4.56,98.7
Realme Model 33455,116,3098,24842,16,4.98,12.4
Sony Model 33456,141,5237,32753,14,6.84,36.4
Oppo Model 33457,72,5991,10562,11,7.1,12.2
Xiaomi Model 33458,66,3594,21312,14,6.47,87.2
Google Model 33459,76,5155,36420,15,6.4,77.2
Xiaomi Model 33460,143,5747,14894,12,6.15,45.7
Apple Model 33461,111,3873,3834,7,4.59,37.3
Nokia Model 33462,87,3826,11420,5,5.72,86.0
Oppo Model 33463,61,5563,9101,14,6.38,48.7
Samsung Model 33464,141,3475,35390,8,5.33,105.7
Asus Model 33465,64,5619,18664,8,6.4,25.2
Motorola Model 33466,120,5838,25729,9,5.12,22.2
Oppo Model 33467,106,4930,36557,4,4.8,22.2
Samsung Model 33468,117,4611,23803,16,5.49,58.3
Motorola Model 33469,127,3376,29388,3,6.04,91.7
Huawei Model 33470,93,4665,23512,11,4.83,15.2
Motorola Model 33471,86,4129,27564,14,5.24,31.7
Asus Model 33472,82,4809,14214,7,6.91,25.6
Huawei Model 33473,70,5101,23937,15,6.48,67.0
OnePlus Model 33474,94,4363,16451,13,6.46,25.1
OnePlus Model 33475,122,4208,39766,3,6.48,77.5
Realme Model 33476,125,5978,21211,3,6.55,103.7
Asus Model 33477,112,4461,39419,13,6.0,104.6
Samsung Model 33478,85,5188,16944,8,5.28,100.1
Apple Model 33479,93,3857,12709,6,5.49,42.6
Nokia Model 33480,89,5841,26936,13,5.7,8.4
Huawei Model 33481,112,5197,5525,15,6.53,43.4
Asus Model 33482,121,4395,9330,3,5.63,58.7
Apple Model 33483,101,5160,19214,15,7.17,23.3
Xiaomi Model 33484,71,5357,21321,13,6.56,84.6
Apple Model 33485,101,5409,14910,9,5.82,42.4
Motorola Model 33486,77,3292,24280,14,5.71,84.8
Oppo Model 33487,124,5943,19582,5,4.97,77.2
Motorola Model 33488,110,4648,28355,5,6.3,90.8
Samsung Model 33489,72,3033,26634,10,6.02,94.8
OnePlus Model 33490,91,5590,36737,12,5.39,70.5
Apple Model 33491,78,5093,29434,4,6.37,105.0
Huawei Model 33492,86,3678,14991,15,6.17,14.4
Xiaomi Model 33493,79,3422,8215,15,5.6,104.8
Sony Model 33494,115,5450,8592,11,6.51,66.5
Apple Model 33495,120,3458,39269,7,5.46,39.2
Asus Model 33496,126,5538,3833,13,6.26,59.9
Realme Model 33497,113,5223,8856,4,6.27,43.4
Apple Model 33498,93,4316,20581,16,5.04,63.1
Xiaomi Model 33499,140,3550,9711,4,5.08,28.8
OnePlus Model 33500,102,5497,11912,3,6.32,99.0
Motorola Model 33501,138,5874,24297,9,6.07,27.5
Sony Model 33502,73,4842,32596,14,5.58,20.1
Motorola Model 33503,107,4742,9279,10,6.87,57.4
Google Model 33504,106,5357,17468,5,6.05,91.3
Realme Model 33505,122,4143,28858,8,6.91,73.0
Oppo Model 33506,133,4336,10704,11,6.2,105.2
Asus Model 33507,102,4753,25891,10,5.77,31.3
Samsung Model 33508,65,4259,11325,9,4.95,80.0
Asus Model 33509,103,5008,29673,14,6.51,73.1
Oppo Model 33510,85,5559,13964,11,6.03,51.2
Xiaomi Model 33511,72,4402,11353,5,4.57,95.7
Samsung Model 33512,75,4872,17486,7,6.2,92.5
Samsung Model 33513,135,5651,29518,9,5.23,56.1
Realme Model 33514,112,3338,26334,12,7.0,92.8
Xiaomi Model 33515,68,4601,6056,6,5.57,59.5
Huawei Model 33516,118,4434,31299,15,6.99,17.4
Nokia Model 33517,126,4338,8333,5,4.93,20.5
Motorola Model 33518,89,4607,37116,16,5.89,51.6
Motorola Model 33519,124,4420,27037,3,5.32,93.8
Motorola Model 33520,93,3847,16734,13,5.14,79.2
Motorola Model 33521,100,4052,7419,5,5.02,35.4
Apple Model 33522,71,5170,21093,5,6.92,24.9
Realme Model 33523,113,5216,29199,10,5.4,71.4
Huawei Model 33524,124,3627,3868,10,5.83,87.0
Huawei Model 33525,120,5358,22613,15,5.1,97.7
Nokia Model 33526,89,5878,12164,15,6.77,58.6
Motorola Model 33527,140,4901,14991,5,5.12,63.8
Realme Model 33528,82,4033,23165,15,6.54,93.7
OnePlus Model 33529,67,5255,7284,9,4.62,9.2
Apple Model 33530,101,4676,34626,13,5.88,56.3
Nokia Model 33531,114,4810,22873,9,4.76,35.4
Oppo Model 33532,82,3710,14032,16,6.54,26.3
Apple Model 33533,64,3107,18555,3,5.53,78.5
Xiaomi Model 33534,124,4716,11108,7,6.09,93.2
Oppo Model 33535,88,4763,30618,3,6.88,28.7
Huawei Model 33536,112,5975,8693,16,4.62,73.1
Huawei Model 33537,79,3731,18462,8,4.77,25.5
Huawei Model 33538,143,4624,13714,3,5.2,13.7
Oppo Model 33539,102,5871,17346,4,4.96,105.1
Asus Model 33540,117,3883,17719,8,4.82,26.0
Nokia Model 33541,85,4083,4537,7,6.01,52.3
Oppo Model 33542,67,3343,32151,14,6.13,33.6
Xiaomi Model 33543,94,3147,16859,7,5.24,49.5
Apple Model 33544,120,4701,19670,13,5.09,19.6
Google Model 33545,88,3294,16140,6,5.72,24.6
Realme Model 33546,69,4340,9473,10,6.96,100.7
Oppo Model 33547,132,5477,28733,6,5.26,83.2
Asus Model 33548,122,3202,19332,14,5.38,28.3
Realme Model 33549,141,4680,16579,13,5.37,74.8
Apple Model 33550,87,4371,3229,14,6.9,23.8
Asus Model 33551,64,3905,22065,6,4.67,94.8
OnePlus Model 33552,71,5419,33869,15,5.4,89.2
Xiaomi Model 33553,104,5833,13748,12,5.96,95.5
Motorola Model 33554,106,3315,18285,9,4.91,62.3
OnePlus Model 33555,138,4146,34123,12,6.7,9.9
Huawei Model 33556,72,5835,36294,10,5.64,53.1
Oppo Model 33557,93,3086,23145,6,6.34,22.8
Asus Model 33558,67,5421,20530,14,5.21,88.2
Apple Model 33559,109,5216,25709,6,5.56,50.0
OnePlus Model 33560,78,4567,6084,3,6.85,66.4
Asus Model 33561,103,5307,22614,14,4.97,82.7
Samsung Model 33562,65,4665,33448,8,5.22,13.9
Motorola Model 33563,77,3884,9807,14,6.7,37.1
Sony Model 33564,77,4948,9287,14,5.8,79.3
Apple Model 33565,134,4261,24681,12,5.69,77.6
Samsung Model 33566,109,5666,38557,14,5.41,29.3
Asus Model 33567,74,5020,26949,5,5.17,82.0
Xiaomi Model 33568,87,3706,3922,10,6.04,104.9
Asus Model 33569,92,5132,21623,15,6.72,68.1
OnePlus Model 33570,123,3464,18742,11,5.41,31.8
Xiaomi Model 33571,127,5654,17629,10,5.92,95.2
Apple Model 33572,88,5901,10355,6,6.11,62.4
OnePlus Model 33573,125,4886,26275,13,6.57,72.9
Asus Model 33574,109,3237,8233,13,6.91,75.3
Realme Model 33575,68,4125,8188,7,5.85,70.4
Xiaomi Model 33576,70,3556,39503,10,5.7,56.7
Oppo Model 33577,98,3489,27277,13,5.02,37.5
Motorola Model 33578,84,4921,38152,12,7.01,82.4
OnePlus Model 33579,118,5417,27189,4,6.76,38.4
Asus Model 33580,82,5855,9739,12,5.82,17.8
Apple Model 33581,139,4938,25539,9,5.27,60.9
OnePlus Model 33582,137,3060,22988,13,4.87,18.0
Xiaomi Model 33583,116,3355,28099,12,4.54,93.5
Nokia Model 33584,81,5212,26294,8,5.22,53.3
OnePlus Model 33585,70,4908,32368,15,6.87,38.6
Xiaomi Model 33586,130,3353,26795,16,5.25,75.6
Huawei Model 33587,73,5016,17336,6,6.24,26.0
Huawei Model 33588,139,4815,20596,7,6.18,92.4
Motorola Model 33589,67,3735,17462,9,7.11,37.0
OnePlus Model 33590,71,3332,33734,9,6.69,89.6
Realme Model 33591,98,5608,20244,9,5.74,14.1
Google Model 33592,86,5315,14510,10,4.85,12.0
OnePlus Model 33593,139,3868,3899,16,5.5,76.8
Samsung Model 33594,61,4625,25853,10,7.15,20.6
Sony Model 33595,75,4909,21508,6,5.76,101.6
Apple Model 33596,85,4958,13951,11,5.57,102.6
Realme Model 33597,73,3161,33624,15,6.97,60.6
OnePlus Model 33598,144,5492,38323,8,5.46,59.5
Huawei Model 33599,125,4141,28476,15,7.12,78.4
Realme Model 33600,96,3007,32833,6,5.24,14.1
Realme Model 33601,139,4708,8752,9,6.89,22.3
Sony Model 33602,111,3215,5854,4,5.09,80.4
Oppo Model 33603,65,3580,14943,14,6.28,74.6
Sony Model 33604,120,4874,13121,9,6.33,10.6
Motorola Model 33605,85,4431,33956,3,6.69,69.5
Oppo Model 33606,106,4227,21217,7,6.86,90.1
Sony Model 33607,126,4973,34542,9,4.99,34.3
Nokia Model 33608,70,4883,19419,5,4.71,52.0
Nokia Model 33609,76,3276,18991,16,5.74,23.1
Google Model 33610,137,5569,38322,7,7.04,17.0
Samsung Model 33611,92,4899,33771,15,6.64,100.6
Sony Model 33612,108,5939,20802,7,5.26,76.7
Asus Model 33613,76,4490,28467,11,5.81,37.9
Motorola Model 33614,138,3193,10070,11,5.79,10.5
Huawei Model 33615,63,5868,3884,15,5.8,88.7
Xiaomi Model 33616,68,3308,23731,9,6.56,55.6
Google Model 33617,95,4267,25077,12,6.87,52.6
Google Model 33618,143,3277,26316,7,5.88,28.7
Oppo Model 33619,117,4265,31751,14,7.11,18.5
Nokia Model 33620,80,3698,7407,9,4.99,66.3
OnePlus Model 33621,108,3883,35959,7,5.53,98.5
Sony Model 33622,104,4153,7695,8,6.84,77.9
Samsung Model 33623,100,4488,11369,9,6.87,20.4
Sony Model 33624,93,3386,17769,9,5.14,94.9
Oppo Model 33625,115,5295,18056,4,5.31,78.5
OnePlus Model 33626,98,3156,13306,11,5.66,83.2
Xiaomi Model 33627,91,3041,38458,4,6.93,41.7
Oppo Model 33628,90,4004,14362,12,7.13,51.5
Samsung Model 33629,112,3185,6537,8,6.01,32.9
Xiaomi Model 33630,119,4811,4615,15,5.34,93.7
Sony Model 33631,133,5105,11123,5,5.73,99.4
OnePlus Model 33632,77,3785,26294,7,6.28,38.1
Nokia Model 33633,76,3312,3842,16,5.3,50.5
Xiaomi Model 33634,117,5938,21428,3,6.36,33.9
Apple Model 33635,64,4348,7402,16,5.76,55.2
Nokia Model 33636,121,5062,7201,7,6.86,68.6
Realme Model 33637,93,3734,4211,16,6.2,100.0
Google Model 33638,78,3181,24249,14,4.55,24.6
Sony Model 33639,121,3823,18128,13,5.2,54.5
Oppo Model 33640,127,4280,10246,11,6.69,67.2
Huawei Model 33641,73,4590,12757,11,4.91,27.7
Asus Model 33642,107,4593,34985,7,5.31,47.0
Google Model 33643,107,4454,10978,14,4.98,50.1
Motorola Model 33644,117,4732,30495,7,5.61,74.3
Xiaomi Model 33645,69,4584,23225,12,4.79,19.0
Sony Model 33646,76,3488,15465,8,6.08,31.8
Asus Model 33647,86,3467,7330,7,6.98,58.6
Huawei Model 33648,141,3717,4407,3,5.08,43.8
Asus Model 33649,81,5002,5587,4,4.54,45.3
Realme Model 33650,125,3083,5259,16,6.53,8.8
Realme Model 33651,65,3452,26269,4,5.72,59.1
Xiaomi Model 33652,140,3931,11471,6,5.49,24.7
Nokia Model 33653,135,4935,30802,5,6.1,39.7
Google Model 33654,142,3898,32632,10,4.51,44.1
Nokia Model 33655,65,4133,33896,14,6.37,16.1
Apple Model 33656,126,3050,3347,13,6.87,76.6
Google Model 33657,134,3051,3673,14,5.03,105.3
Realme Model 33658,128,5282,32309,11,4.8,76.1
Google Model 33659,87,4734,19617,7,6.05,68.0
Huawei Model 33660,132,3829,13670,14,4.65,17.0
Realme Model 33661,100,5153,18133,5,5.24,89.4
OnePlus Model 33662,119,5927,36144,13,5.4,14.4
Google Model 33663,129,4056,9628,11,5.6,50.2
Samsung Model 33664,133,5367,38592,9,4.74,44.0
Motorola Model 33665,130,4949,4544,8,5.43,50.8
Apple Model 33666,112,3950,29793,7,5.74,27.1
Huawei Model 33667,125,4043,21419,12,6.57,72.9
Sony Model 33668,127,5168,10735,12,5.83,106.6
OnePlus Model 33669,129,4276,31052,4,4.9,102.3
Sony Model 33670,102,5778,34047,15,6.03,76.8
Asus Model 33671,135,4904,12006,14,5.13,100.3
Sony Model 33672,63,4035,37876,6,5.26,87.6
Xiaomi Model 33673,62,4014,28971,6,5.84,89.9
Google Model 33674,134,3238,30740,5,5.22,67.1
Asus Model 33675,130,3655,7745,12,4.7,99.0
Sony Model 33676,142,4739,23832,9,6.77,77.3
Nokia Model 33677,75,4938,6965,13,4.52,17.0
Realme Model 33678,108,3666,17217,12,4.58,50.1
